lon,lat,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,abund_sp1,abund_sp2,abund_sp4
12.670833333333333,62.97083333333333,-0.7791666984558105,8.574999809265137,28.58333396911621,761.3817138671875,15.5,-14.5,30,8,-6.449999809265137,9.166666984558105,-9.483333587646484,763,99,46,27.741308212280273,261,138,258,156,0,0,0
12.529166666666667,60.1625,3.450000047683716,9.050000190734863,29.28802490234375,798.558349609375,20.600000381469727,-10.300000190734863,30.900001525878906,13.583333015441895,-2.1666667461395264,13.583333015441895,-6.183333396911621,885,93,46,22.94634437561035,272,154,272,180,8,0,679
15.779166666666667,56.6375,6.558333396911621,7.849999904632568,30.426355361938477,662.29571533203125,21.200000762939453,-4.599999904632568,25.80000114440918,7.066666603088379,1.2333333492279053,15.116666793823242,-1.0333333015441895,630,66,38,18.06072235107422,186,121,168,153,25,0,0
27.870833333333334,67.72916666666667,-1.629166603088379,8.675000190734863,23.010608673095703,1009.8412475585938,18.200000762939453,-19.5,37.70000076293945,11.433333396911621,-8.516666412353516,11.433333396911621,-13.649999618530273,512,68,27,32.71369171142578,187,87,187,95,0,0,0
17.612499999999997,59.62083333333334,6.020833492279053,7.724999904632568,27.58928680419922,739.37152099609375,21.399999618530273,-6.599999904632568,28,14.366666793823242,-2.183333396911621,15.550000190734863,-2.6000001430511475,535,71,24,30.918258666992188,187,88,184,100,13,0,0
23.3375,60.37083333333334,4.775000095367432,7.699999809265137,24.91909408569336,817.57818603515625,21.299999237060547,-9.600000381469727,30.899999618530273,13.716666221618652,3.5166666507720947,15.266666412353516,-4.849999904632568,678,81,34,29.741395950317383,221,110,209,152,687,0,16
11.270833333333332,59.354166666666664,5.804166793823242,7.008333206176758,26.851850509643555,701.9759521484375,20.200000762939453,-5.900000095367432,26.100000381469727,6.133333206176758,0.3166666626930237,14.800000190734863,-2.383333206176758,858,102,46,25.794477462768555,287,151,232,184,2691,0,52
24.59583333333333,63.920833333333334,2.379166603088379,8.524999618530273,25.073528289794922,899.12445068359375,20.899999618530273,-13.100000381469727,34,12.133333206176758,-4.166666507720947,13.916666984558105,-8.416666984558105,545,73,26,34.744197845458984,201,83,199,100,0,0,41
14.895833333333334,64.84583333333333,-0.04583333432674408,7.641666889190674,25.55741310119629,785.59027099609375,16,-13.899999618530273,29.899999618530273,9.033332824707031,-1.433333396911621,10.166666984558105,-9.166666984558105,838,95,36,25.34632110595703,252,132,242,229,0,0,1
24.645833333333332,64.69583333333334,2.2125000953674316,8.141666412353516,24.01671600341797,895.9609375,20.200000762939453,-13.699999809265137,33.900001525878906,12.216667175292969,-4.616666793823242,13.683333396911621,-8.516666412353516,513,69,25,33.91837692260742,188,77,182,99,0,0,8
